ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE;"ID,""NAME"",""PREFIXES AS URL"",""INDEGREE"",""TOTAL KNOWN PAGES"",""CRAWLED PAGES"",""STATUS"",""LAST MODIFICATION DATE"""
243;Redsemlac-Cuba.net;http://redsemlac-cuba.net http://www.redsemlac-cuba.net https://redsemlac-cuba.net https://www.redsemlac-cuba.net;3;11;0;IN;2019-10-03T10:45:29.094Z;"243,""Redsemlac-Cuba.net"",""http://redsemlac-cuba.net http://www.redsemlac-cuba.net https://redsemlac-cuba.net https://www.redsemlac-cuba.net"",""3"",""11"",""0"",""IN"",""2019-10-03T10:45:29.094Z"""
244;negracubanateniaqueser.Wordpress.com;http://negracubanateniaqueser.wordpress.com http://www.negracubanateniaqueser.wordpress.com https://negracubanateniaqueser.wordpress.com https://www.negracubanateniaqueser.wordpress.com;3;103;0;IN;2019-10-03T10:45:28.625Z;"244,""negracubanateniaqueser.Wordpress.com"",""http://negracubanateniaqueser.wordpress.com http://www.negracubanateniaqueser.wordpress.com https://negracubanateniaqueser.wordpress.com https://www.negracubanateniaqueser.wordpress.com"",""3"",""103"",""0"",""IN"",""2019-10-03T10:45:28.625Z"""
249;Havana-Cultura.com;http://havana-cultura.com http://www.havana-cultura.com https://havana-cultura.com https://www.havana-cultura.com;1;6;0;IN;2019-10-03T10:48:18.773Z;"249,""Havana-Cultura.com"",""http://havana-cultura.com http://www.havana-cultura.com https://havana-cultura.com https://www.havana-cultura.com"",""1"",""6"",""0"",""IN"",""2019-10-03T10:48:18.773Z"""
265;Allafrica.com;http://allafrica.com http://www.allafrica.com https://allafrica.com https://www.allafrica.com;1;1;0;IN;2019-10-03T10:48:37.701Z;"265,""Allafrica.com"",""http://allafrica.com http://www.allafrica.com https://allafrica.com https://www.allafrica.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:48:37.701Z"""
274;Twitter.com /afrofeminas;http://twitter.com/afrofeminas http://www.twitter.com/afrofeminas https://twitter.com/afrofeminas https://www.twitter.com/afrofeminas;1;1;0;IN;2019-10-03T10:39:51.495Z;"274,""Twitter.com /afrofeminas"",""http://twitter.com/afrofeminas http://www.twitter.com/afrofeminas https://twitter.com/afrofeminas https://www.twitter.com/afrofeminas"",""1"",""1"",""0"",""IN"",""2019-10-03T10:39:51.495Z"""
275;Facebook.com /afrofeminas;http://facebook.com/afrofeminas http://www.facebook.com/afrofeminas https://facebook.com/afrofeminas https://www.facebook.com/afrofeminas;1;1;0;IN;2019-10-03T10:39:34.772Z;"275,""Facebook.com /afrofeminas"",""http://facebook.com/afrofeminas http://www.facebook.com/afrofeminas https://facebook.com/afrofeminas https://www.facebook.com/afrofeminas"",""1"",""1"",""0"",""IN"",""2019-10-03T10:39:34.772Z"""
278;Bloggingblackmiami.com;http://bloggingblackmiami.com http://www.bloggingblackmiami.com https://bloggingblackmiami.com https://www.bloggingblackmiami.com;1;7;0;IN;2019-10-03T10:49:22.161Z;"278,""Bloggingblackmiami.com"",""http://bloggingblackmiami.com http://www.bloggingblackmiami.com https://bloggingblackmiami.com https://www.bloggingblackmiami.com"",""1"",""7"",""0"",""IN"",""2019-10-03T10:49:22.161Z"""
307;Atlantablackstar.com;http://atlantablackstar.com http://www.atlantablackstar.com https://atlantablackstar.com https://www.atlantablackstar.com;1;3;0;IN;2019-10-03T10:49:04.337Z;"307,""Atlantablackstar.com"",""http://atlantablackstar.com http://www.atlantablackstar.com https://atlantablackstar.com https://www.atlantablackstar.com"",""1"",""3"",""0"",""IN"",""2019-10-03T10:49:04.337Z"""
322;Theblackviewpoint.com;http://theblackviewpoint.com http://www.theblackviewpoint.com https://theblackviewpoint.com https://www.theblackviewpoint.com;1;3;0;IN;2019-10-03T10:49:28.118Z;"322,""Theblackviewpoint.com"",""http://theblackviewpoint.com http://www.theblackviewpoint.com https://theblackviewpoint.com https://www.theblackviewpoint.com"",""1"",""3"",""0"",""IN"",""2019-10-03T10:49:28.118Z"""
330;Blackdemographics.com;http://blackdemographics.com http://www.blackdemographics.com https://blackdemographics.com https://www.blackdemographics.com;1;1;0;IN;2019-10-03T10:49:10.692Z;"330,""Blackdemographics.com"",""http://blackdemographics.com http://www.blackdemographics.com https://blackdemographics.com https://www.blackdemographics.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:49:10.692Z"""
