ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE;"ID,""NAME"",""PREFIXES AS URL"",""INDEGREE"",""TOTAL KNOWN PAGES"",""CRAWLED PAGES"",""STATUS"",""LAST MODIFICATION DATE"""
1011;proyectoarcoiris.Wordpress.com;http://proyectoarcoiris.wordpress.com http://www.proyectoarcoiris.wordpress.com https://proyectoarcoiris.wordpress.com https://www.proyectoarcoiris.wordpress.com;3;2072;194;IN;2019-11-21T16:45:51.570Z;"1011,""proyectoarcoiris.Wordpress.com"",""http://proyectoarcoiris.wordpress.com http://www.proyectoarcoiris.wordpress.com https://proyectoarcoiris.wordpress.com https://www.proyectoarcoiris.wordpress.com"",""3"",""2072"",""194"",""IN"",""2019-11-21T16:45:51.570Z"""
1031;proyectoarcoiris.files.Wordpress.com;http://proyectoarcoiris.files.wordpress.com http://www.proyectoarcoiris.files.wordpress.com https://proyectoarcoiris.files.wordpress.com https://www.proyectoarcoiris.files.wordpress.com;2;41;4;IN;2019-11-21T16:45:51.648Z;"1031,""proyectoarcoiris.files.Wordpress.com"",""http://proyectoarcoiris.files.wordpress.com http://www.proyectoarcoiris.files.wordpress.com https://proyectoarcoiris.files.wordpress.com https://www.proyectoarcoiris.files.wordpress.com"",""2"",""41"",""4"",""IN"",""2019-11-21T16:45:51.648Z"""
1331;Facebook.com /roberto.zurbano;http://facebook.com/roberto.zurbano http://www.facebook.com/roberto.zurbano https://facebook.com/roberto.zurbano https://www.facebook.com/roberto.zurbano;1;5;5;IN;2019-11-21T16:45:51.692Z;"1331,""Facebook.com /roberto.zurbano"",""http://facebook.com/roberto.zurbano http://www.facebook.com/roberto.zurbano https://facebook.com/roberto.zurbano https://www.facebook.com/roberto.zurbano"",""1"",""5"",""5"",""IN"",""2019-11-21T16:45:51.692Z"""
2778;lacofradiadelanegritud.Wordpress.com;http://lacofradiadelanegritud.wordpress.com http://www.lacofradiadelanegritud.wordpress.com https://lacofradiadelanegritud.wordpress.com https://www.lacofradiadelanegritud.wordpress.com;0;382;27;IN;2019-11-28T13:40:36.216Z;"2778,""lacofradiadelanegritud.Wordpress.com"",""http://lacofradiadelanegritud.wordpress.com http://www.lacofradiadelanegritud.wordpress.com https://lacofradiadelanegritud.wordpress.com https://www.lacofradiadelanegritud.wordpress.com"",""0"",""382"",""27"",""IN"",""2019-11-28T13:40:36.216Z"""
380;Facebook.com /elclubdelespendru;http://facebook.com/elclubdelespendru http://www.facebook.com/elclubdelespendru https://facebook.com/elclubdelespendru https://www.facebook.com/elclubdelespendru;2;570;64;IN;2019-11-28T13:48:32.477Z;"380,""Facebook.com /elclubdelespendru"",""http://facebook.com/elclubdelespendru http://www.facebook.com/elclubdelespendru https://facebook.com/elclubdelespendru https://www.facebook.com/elclubdelespendru"",""2"",""570"",""64"",""IN"",""2019-11-28T13:48:32.477Z"""
1226;Facebook.com /redbarrialafrodescendiente;http://facebook.com/redbarrialafrodescendiente http://www.facebook.com/redbarrialafrodescendiente https://facebook.com/redbarrialafrodescendiente https://www.facebook.com/redbarrialafrodescendiente;1;5;5;IN;2019-11-28T13:49:14.857Z;"1226,""Facebook.com /redbarrialafrodescendiente"",""http://facebook.com/redbarrialafrodescendiente http://www.facebook.com/redbarrialafrodescendiente https://facebook.com/redbarrialafrodescendiente https://www.facebook.com/redbarrialafrodescendiente"",""1"",""5"",""5"",""IN"",""2019-11-28T13:49:14.857Z"""
782;Twitter.com /.../DirectorioDeAfrocubanas;http://twitter.com/hashtag/DirectorioDeAfrocubanas http://www.twitter.com/hashtag/DirectorioDeAfrocubanas https://twitter.com/hashtag/DirectorioDeAfrocubanas https://www.twitter.com/hashtag/DirectorioDeAfrocubanas;1;5;5;IN;2019-11-28T13:50:15.431Z;"782,""Twitter.com /.../DirectorioDeAfrocubanas"",""http://twitter.com/hashtag/DirectorioDeAfrocubanas http://www.twitter.com/hashtag/DirectorioDeAfrocubanas https://twitter.com/hashtag/DirectorioDeAfrocubanas https://www.twitter.com/hashtag/DirectorioDeAfrocubanas"",""1"",""5"",""5"",""IN"",""2019-11-28T13:50:15.431Z"""
2310;entrealianzasblog.Wordpress.com;http://entrealianzasblog.wordpress.com http://www.entrealianzasblog.wordpress.com https://entrealianzasblog.wordpress.com https://www.entrealianzasblog.wordpress.com;1;332;47;IN;2019-11-28T13:53:06.279Z;"2310,""entrealianzasblog.Wordpress.com"",""http://entrealianzasblog.wordpress.com http://www.entrealianzasblog.wordpress.com https://entrealianzasblog.wordpress.com https://www.entrealianzasblog.wordpress.com"",""1"",""332"",""47"",""IN"",""2019-11-28T13:53:06.279Z"""
2849;Facebook.com /.../Tomas-Fernandez-Robaina;http://facebook.com/public/Tomas-Fernandez-Robaina http://www.facebook.com/public/Tomas-Fernandez-Robaina https://facebook.com/public/Tomas-Fernandez-Robaina https://www.facebook.com/public/Tomas-Fernandez-Robaina;0;2;2;IN;2019-11-28T14:01:42.630Z;"2849,""Facebook.com /.../Tomas-Fernandez-Robaina"",""http://facebook.com/public/Tomas-Fernandez-Robaina http://www.facebook.com/public/Tomas-Fernandez-Robaina https://facebook.com/public/Tomas-Fernandez-Robaina https://www.facebook.com/public/Tomas-Fernandez-Robaina"",""0"",""2"",""2"",""IN"",""2019-11-28T14:01:42.630Z"""
2875;Youtube.com /watch ?v=qe3MAo7F8Co;http://www.youtube.com/watch?v=qe3MAo7F8Co http://youtube.com/watch?v=qe3MAo7F8Co https://www.youtube.com/watch?v=qe3MAo7F8Co https://youtube.com/watch?v=qe3MAo7F8Co;0;1;1;IN;2019-11-28T14:07:57.703Z;"2875,""Youtube.com /watch ?v=qe3MAo7F8Co"",""http://www.youtube.com/watch?v=qe3MAo7F8Co http://youtube.com/watch?v=qe3MAo7F8Co https://www.youtube.com/watch?v=qe3MAo7F8Co https://youtube.com/watch?v=qe3MAo7F8Co"",""0"",""1"",""1"",""IN"",""2019-11-28T14:07:57.703Z"""
2876;Youtube.com /.../UCdETNHu92dNGMCDQ5DsLQCA;http://www.youtube.com/channel/UCdETNHu92dNGMCDQ5DsLQCA http://youtube.com/channel/UCdETNHu92dNGMCDQ5DsLQCA https://www.youtube.com/channel/UCdETNHu92dNGMCDQ5DsLQCA https://youtube.com/channel/UCdETNHu92dNGMCDQ5DsLQCA;0;3;2;IN;2019-11-28T14:08:48.934Z;"2876,""Youtube.com /.../UCdETNHu92dNGMCDQ5DsLQCA"",""http://www.youtube.com/channel/UCdETNHu92dNGMCDQ5DsLQCA http://youtube.com/channel/UCdETNHu92dNGMCDQ5DsLQCA https://www.youtube.com/channel/UCdETNHu92dNGMCDQ5DsLQCA https://youtube.com/channel/UCdETNHu92dNGMCDQ5DsLQCA"",""0"",""3"",""2"",""IN"",""2019-11-28T14:08:48.934Z"""
2877;Youtube.com /watch ?v=3_67RX-JniI;http://www.youtube.com/watch?v=3_67RX-JniI http://youtube.com/watch?v=3_67RX-JniI https://www.youtube.com/watch?v=3_67RX-JniI https://youtube.com/watch?v=3_67RX-JniI;1;2;1;IN;2019-11-28T14:09:49.343Z;"2877,""Youtube.com /watch ?v=3_67RX-JniI"",""http://www.youtube.com/watch?v=3_67RX-JniI http://youtube.com/watch?v=3_67RX-JniI https://www.youtube.com/watch?v=3_67RX-JniI https://youtube.com/watch?v=3_67RX-JniI"",""1"",""2"",""1"",""IN"",""2019-11-28T14:09:49.343Z"""
2883;Ecured.cu /TomÃ¡s_FernÃ¡ndez_Robaina;http://ecured.cu/Tom%C3%A1s_Fern%C3%A1ndez_Robaina http://www.ecured.cu/Tom%C3%A1s_Fern%C3%A1ndez_Robaina https://ecured.cu/Tom%C3%A1s_Fern%C3%A1ndez_Robaina https://www.ecured.cu/Tom%C3%A1s_Fern%C3%A1ndez_Robaina;0;11;1;IN;2019-11-28T14:12:26.394Z;"2883,""Ecured.cu /TomÃ¡s_FernÃ¡ndez_Robaina"",""http://ecured.cu/Tom%C3%A1s_Fern%C3%A1ndez_Robaina http://www.ecured.cu/Tom%C3%A1s_Fern%C3%A1ndez_Robaina https://ecured.cu/Tom%C3%A1s_Fern%C3%A1ndez_Robaina https://www.ecured.cu/Tom%C3%A1s_Fern%C3%A1ndez_Robaina"",""0"",""11"",""1"",""IN"",""2019-11-28T14:12:26.394Z"""
2884;Youtube.com /watch ?v=GmS_K4eD8p4;http://www.youtube.com/watch?v=GmS_K4eD8p4 http://youtube.com/watch?v=GmS_K4eD8p4 https://www.youtube.com/watch?v=GmS_K4eD8p4 https://youtube.com/watch?v=GmS_K4eD8p4;0;1;1;IN;2019-11-28T14:13:40.740Z;"2884,""Youtube.com /watch ?v=GmS_K4eD8p4"",""http://www.youtube.com/watch?v=GmS_K4eD8p4 http://youtube.com/watch?v=GmS_K4eD8p4 https://www.youtube.com/watch?v=GmS_K4eD8p4 https://youtube.com/watch?v=GmS_K4eD8p4"",""0"",""1"",""1"",""IN"",""2019-11-28T14:13:40.740Z"""
